conditioning,dimension,effect_b_minus_a,factor_a,factor_b,kind,level_a,level_b,metric
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,-14.612345113537355,geometry,,paired_marginal,long,short,final_activation_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_activation_jump_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.1273906875257249,geometry,,paired_marginal,long,short,final_midline_arc_length_ratio
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,12.258373690489904,geometry,,paired_marginal,long,short,final_midline_turning_density
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_midline_x_reversal_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.023854895279755185,geometry,,paired_marginal,long,short,final_midline_y_range
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.022999999999999993,muscle_extent,,paired_marginal,band,full,final_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.02449999999999999,muscle_extent,,paired_marginal,band,full,peak_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.015499999999999993,muscle_extent,,paired_marginal,band,full,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.018499999999999992,muscle_extent,,paired_marginal,band,full,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.007500000000000002,muscle_extent,,paired_marginal,band,full,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.007000000000000001,muscle_extent,,paired_marginal,band,full,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,7.780415852410933,muscle_extent,,paired_marginal,band,full,trajectory_min_det_f
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-6.0197048520018786e-05,muscle_extent,,paired_marginal,band,full,final_target_rms
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.2500933333388031,muscle_extent,,paired_marginal,band,full,final_activation_rms
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.14458056667910044,muscle_extent,,paired_marginal,band,full,final_activation_jump_rms
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.4339142410058918,muscle_extent,,paired_marginal,band,full,final_midline_arc_length_ratio
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-53.23666781960801,muscle_extent,,paired_marginal,band,full,final_midline_turning_density
