coding,dimension,factor_subset,formula,metric,order,signed_nested_contrast
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_inverted_rest_measure_fraction,2,-0.024750000000000008
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,2,-0.011999999999999999
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,2,-0.012374999999999997
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,2,-0.0105
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,2,-0.015500000000000007
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),trajectory_min_det_f,2,13.346509588259934
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_target_rms,2,-0.0018539930174211426
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_rms,2,0.9665871853570849
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_jump_rms,2,-1.0861814699419137
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_arc_length_ratio,2,-0.2924969552656781
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_turning_density,2,11.254493552710308
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_x_reversal_fraction,2,-0.0025000000000000005
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_y_range,2,0.0003606323328433081
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_inverted_rest_measure_fraction,2,-0.02199999999999999
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_inverted_rest_measure_fraction,2,-0.024250000000000008
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,2,-0.011499999999999998
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,2,-0.011874999999999997
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,2,-0.0105
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,2,-0.015250000000000007
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),trajectory_min_det_f,2,11.873090483557787
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_target_rms,2,0.0049132021486376996
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_rms,2,-12.02686611478715
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_jump_rms,2,-1.065915701988768
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_arc_length_ratio,2,-0.34845339141235343
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_turning_density,2,2.851041313695096
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_x_reversal_fraction,2,-0.0025000000000000005
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_y_range,2,0.014241227914507909
