triangle_id,point_id_0,point_id_1,point_id_2,base_area,min_relative_area_change,min_expression,max_relative_area_change,max_expression
7796,12220,12532,75744,1.1270383826286766e-06,-0.4535883882454238,LipsDisgust,0.12713749837813282,BrowDownLeft
7797,12220,12367,12722,2.5563193742034613e-06,-0.43530613618012848,MouthOpenMax,0.089055788482135245,BrowDownLeft
7798,12227,12729,13043,2.0279675608711996e-06,-0.64161271600814196,Compressed,0.535588352509067,BrowUpLeft
7799,12227,12454,123237,1.3742679234827187e-06,-0.55503154068437088,Compressed,0.38418658523931559,BrowUpLeft
7800,12227,13043,12454,2.2334229649681455e-06,-0.61282120522875805,Compressed,0.25356757726728607,BrowUpLeft
7801,12235,165904,12687,1.4453113963315624e-06,-0.11267746149774138,LipsDisgust,0.22432394552315316,LipsPressed
7802,12235,43048,156486,1.5950941019595967e-06,-0.15924977553943032,LipsDisgust,0.19166376151698206,LipsPressed
7803,12235,12687,43048,1.5290075138948595e-06,-0.15580243284741846,LipsRight,0.23559175847715363,LipsPressed
7804,12238,12584,12653,4.0461677255248764e-07,-0.34196851441731957,Compressed,0.86309751388050659,EyeClosedBrowUpLeft
7805,12238,12653,12275,2.8375648575709224e-07,-0.50573902114909952,Compressed,0.88378850223562577,EyeClosedBrowUpLeft
7806,12243,12746,532984,1.3591178004172675e-06,-0.30938142642014865,LipsDisgust,0.13894578736754282,BrowDownLeft
7807,12243,12548,13004,2.4645212480564084e-06,-0.32052421484515869,LipsDisgust,0.14555321606926142,BrowDownLeft
7808,12243,13004,12746,2.2679971145475378e-06,-0.31578141428380013,LipsDisgust,0.11549946566787317,BrowDownLeft
7809,12245,12775,12447,1.0183025034454376e-06,-0.14046675404311759,LipsLeft,0.30613734148178517,Smile
7810,12245,12570,12775,1.0878557892047575e-06,-0.21761571005524816,Extra_Funnel,0.34402846830113809,Scream
7811,12246,12411,12836,7.9733308998694811e-07,-0.37349565199833168,LowerLipFront,0.72402303460499784,MouthOpenMax
7812,12246,12836,12327,1.0475703036512289e-06,-0.3002841604250267,LowerLipFront,0.56654760551120509,MouthOpenMax
