resolution,index,singular_value
200x20,74,2.351312199435159e-05
200x20,75,1.7337162227596628e-05
200x20,76,5.982515247927555e-06
200x20,77,3.7159541035554873e-06
200x20,78,1.6512357762047346e-06
200x20,79,1.0113350056763363e-06
200x20,80,9.872178682390107e-07
200x20,81,3.3714452238709454e-07
200x20,82,2.298104619797989e-07
200x20,83,1.8265095783852145e-07
200x20,84,5.4322647728023805e-08
200x20,85,3.9320691992095766e-08
200x20,86,3.575176592965859e-08
200x20,87,1.2552904931906177e-08
200x20,88,4.6092106956989126e-09
200x20,89,3.992088865277935e-09
200x20,90,2.1249430225564605e-09
200x20,91,1.416264616459479e-09
200x20,92,7.058336451621662e-10
200x20,93,4.775177888670731e-10
200x20,94,4.35796581195314e-10
200x20,95,1.630137591991123e-10
200x20,96,1.1184937195783092e-10
200x20,97,5.710704993941497e-11
200x20,98,4.2529427248985926e-11
200x20,99,6.643924638708408e-12
200x20,100,1.7529365706375244e-12
200x20,101,4.1314039007562845e-13
200x20,102,3.017130240694621e-14
200x20,103,3.3670891748032133e-15
200x20,104,4.46110201434548e-16
200x20,105,4.127958631485804e-17
200x20,106,6.339932930164266e-18
200x20,107,5.2068141957508455e-18
200x20,108,3.3307828677830468e-18
200x20,109,2.7333030286393845e-18
200x20,110,2.343736216381253e-18
200x20,111,2.1915514253573053e-18
200x20,112,2.1149787532179403e-18
200x20,113,2.0276853245068246e-18
200x20,114,1.8631187933678122e-18
200x20,115,1.74323813049979e-18
200x20,116,1.6779748571347164e-18
200x20,117,1.623330071568858e-18
200x20,118,1.5983149627268008e-18
200x20,119,1.5213178588936346e-18
200x20,120,1.4361316162208683e-18
200x20,121,1.352804193360528e-18
200x20,122,1.3318701484274062e-18
200x20,123,1.2817693354022834e-18
200x20,124,1.251172082662875e-18
200x20,125,1.2295259299725123e-18
200x20,126,1.2082945038542971e-18
200x20,127,1.1536534002153872e-18
200x20,128,1.1384685766610757e-18
200x20,129,1.0818885577217172e-18
