variant,resolution,nx,ny,common_progress_fraction,target_data_loss,selected_step,actual_data_loss,relative_loss_mismatch,top_highpass_rms_width_0p02,top_error_rms,activation_l2_rms,activation_neighbor_jump_rms,min_det_f,min_det_g,min_det_ainv,equilibrium_residual_rms,common_grid_target_vector_rms,common_grid_highpass_rms_width_0p02,common_grid_psd_band_12_24
regularized,200x20,200,20,0.75,0.0030685655956625268,8,0.003059919025443036,0.0028177889472895115,0.0003982726308044554,0.0958110488217779,0.326567533103183,0.01698742376345198,0.8610820773738106,0.8007881503907769,0.3565467826172626,8.168906386170228e-12,0.09571841332394927,0.00040840918903238473,1.3792523636043325e-08
regularized,50x5,50,5,1.0,0.0029803096831055908,11,0.0029803096831055908,0.0,0.001636567949468058,0.09455648602458096,0.4536579734338997,0.04874880777152895,0.6369548864455769,0.3819596901128323,0.04579516599149657,1.603693248455641e-10,0.09445646826538352,0.0013477700987527168,4.7456256608941304e-07
regularized,100x10,100,10,1.0,0.0029803096831055908,9,0.0030062222442030066,0.008694586755297856,0.0007406864375103655,0.0949666611638475,0.3713434584689617,0.021656617504903268,0.8033297978301718,0.7851279819753088,0.2912618407539533,4.783080889808862e-11,0.09484480888015782,0.0007170760897039731,5.642029513295856e-08
regularized,200x20,200,20,1.0,0.0029803096831055908,9,0.0030021026630933302,0.00731232063274391,0.0005250910879011755,0.0949015700042944,0.3680603464524055,0.023437330868114645,0.8411626167684315,0.7613066210097373,0.29803520977970843,2.440055241682638e-10,0.09479036577244564,0.0005391291432901454,2.1307170480109966e-08
tied,50x5,50,5,0.25,0.0032446146412786698,3,0.003258523424299214,0.00428672879780352,0.00020178668089265212,0.09887148361837018,0.14324778595946047,0.0057665996751048,0.9445792602455759,0.9445792602455759,0.7029673676373134,3.947939136647854e-13,0.0988550885089054,0.00016125703204032527,8.32691743821353e-09
tied,100x10,100,10,0.25,0.0032446146412786698,3,0.0032546352078885324,0.0030883687949807394,0.0002870403624147915,0.09881247706471889,0.1424002370160399,0.04245535847506083,0.9430066784561782,0.9356210471111217,0.7035975650127578,8.569208453091002e-12,0.0987888993619737,0.0002655552165745727,1.6986050913344004e-08
tied,200x20,200,20,0.25,0.0032446146412786698,3,0.0032540037155999063,0.0028937409705876087,0.0001755793101560066,0.09880289037674819,0.1427431862916533,0.013208823031319612,0.9038427144842611,0.9038427144842611,0.702939974508747,2.4737654638264327e-12,0.09878517025198254,0.00017204734320893159,9.116825950942795e-09
tied,50x5,50,5,0.5,0.0031558959492240047,6,0.0031520326042271483,0.0012241674183860007,0.0004985936015366125,0.09724246918235595,0.28848068406611266,0.009049000843653478,0.8593024174875666,0.8593024174875666,0.4100874645490362,1.249248115227729e-10,0.09720581448961918,0.0003929729165316192,5.779749144351738e-08
tied,100x10,100,10,0.5,0.0031558959492240047,5,0.0031731358806439056,0.005462769272903304,0.0007123633043137006,0.09756745175483326,0.23857190441013282,0.07354301740283688,0.8711871045436025,0.8711871045436025,0.5094907064900169,8.469174931623303e-12,0.09751555033888529,0.0006710637313954895,1.2012720030308666e-07
tied,200x20,200,20,0.5,0.0031558959492240047,5,0.0031707448825817244,0.004705140345761675,0.0004189234902919455,0.09753068567248552,0.238911180339218,0.023306450256522313,0.7589927679871576,0.7589927679871576,0.508815827885732,3.496639737840971e-11,0.09749622641353847,0.0004121073967409378,5.8288728328728245e-08
tied,50x5,50,5,0.75,0.003067177257169339,9,0.0030560623964184597,0.0036238077616476587,0.0015276383163996931,0.09575065111661318,0.41159731977362707,0.055393396158465544,0.7305981894646628,0.7305981894646628,0.13754463541332038,5.069161117912848e-11,0.09571414943824474,0.0011532287666358681,6.391110696760165e-07
tied,100x10,100,10,0.75,0.003067177257169339,7,0.0030428076613897054,0.007945284454190347,0.001847342659525276,0.09554278091079993,0.3356737806959363,0.10541607130146106,0.7734464938648515,0.7734464938648515,0.31807055997096284,8.712154831345718e-10,0.09544441401143983,0.001769996418563169,8.133098723621011e-07
tied,200x20,200,20,0.75,0.003067177257169339,7,0.0030375336077831765,0.009664798249554196,0.0011593574564326735,0.09545994355408728,0.33360233691702285,0.03327487163627064,0.6302850231339803,0.6302850231339803,0.3172161599973229,9.261846659385273e-11,0.09540556264785091,0.001144872643556896,2.192066422479455e-07
tied,50x5,50,5,1.0,0.002978458565114674,11,0.002978458565114674,0.0,0.001593472337076786,0.09452711619077366,0.4288944360238431,0.10367504066511968,0.6651660255727292,0.18337668982056335,0.02659531453933848,1.5237721412425235e-11,0.09445791662536018,0.001293010600160141,4.891347650258303e-07
