cycles_per_unit_length,global_best_50x5-free_power,global_best_100x10-free_power,global_best_200x20-free_power,global_best_50x5-regularized_power,global_best_100x10-regularized_power,global_best_200x20-regularized_power,global_best_50x5-tied_power,global_best_100x10-tied_power,global_best_200x20-tied_power,admissible_prefix_50x5-free_power,admissible_prefix_100x10-free_power,admissible_prefix_200x20-free_power,admissible_prefix_50x5-regularized_power,admissible_prefix_100x10-regularized_power,admissible_prefix_200x20-regularized_power,admissible_prefix_50x5-tied_power,admissible_prefix_100x10-tied_power,admissible_prefix_200x20-tied_power
38.521603331598094,6.814753152029562e-09,4.321758466326757e-08,8.220662759578663e-09,7.719433538943973e-09,1.4613971618228055e-08,1.8864502774966098e-08,6.814753152029562e-09,7.853595934715841e-09,3.944824871230334e-09,3.655072563062033e-10,6.920367138092665e-09,1.7756625796592522e-09,1.1019810074790942e-09,2.493450189770455e-09,3.200735712328304e-09,3.655072563062033e-10,6.039682529020222e-09,1.898609158260497e-09
39.56272774596561,1.7615741983771627e-08,7.03939056684487e-08,3.238057220046172e-09,1.2473804134389892e-08,1.5645287979268218e-08,2.0067112565171894e-08,1.7615741983771627e-08,1.7703195822091967e-09,4.755118817615193e-09,1.3675764585580482e-10,1.3269000014380854e-08,2.4974310231699345e-09,7.5096986148597e-10,6.8456066644773e-09,2.067079046685899e-09,1.3675764585580482e-10,4.036024292262988e-09,2.878531371754899e-09
40.603852160333126,2.12976210965388e-08,8.98806478992406e-08,6.150238811426946e-10,1.0153774206451023e-08,1.077625455733543e-08,1.0323655909967816e-08,2.12976210965388e-08,6.60944811382875e-09,5.443032846309242e-09,2.5767682655003835e-10,1.8029227274378733e-08,2.696920361285543e-09,2.5297149506260175e-10,8.371421499049807e-09,1.5223041110834862e-09,2.5767682655003835e-10,3.846456908580092e-09,2.8304431610456175e-09
41.64497657470064,1.4718073310035491e-08,9.116775492579793e-08,3.353088620972771e-09,3.5463400442963428e-09,3.3718506212054503e-09,2.4759002849320496e-09,1.4718073310035491e-08,9.937004877184727e-09,5.84945531853666e-09,4.977984613762506e-10,1.8869153715110624e-08,2.3459628779487824e-09,2.6689848799093666e-11,5.293737938604332e-09,1.906915896643985e-09,4.977984613762506e-10,3.6715095421461477e-09,2.0900621271709115e-09
42.68610098906816,5.089979745739814e-09,7.568295966382607e-08,9.49826597827071e-09,2.7765187215962507e-11,6.211152944939671e-10,4.020680665934779e-09,5.089979745739814e-09,6.187254898083091e-09,5.36947176365575e-09,5.998026662939754e-10,1.6113975009533567e-08,2.021737730789284e-09,2.1241519723261605e-10,1.8493186816544476e-09,2.5176284202109903e-09,5.998026662939754e-10,2.5448853106726388e-09,1.1647824601415724e-09
43.727225403435675,2.781272936263757e-10,5.3769832119721176e-08,1.4386039188589124e-08,2.204916274067168e-09,6.25249237047265e-09,9.538020144146466e-09,2.781272936263757e-10,3.191674439603121e-09,3.6182390384576274e-09,7.837129180503183e-10,1.1727511092104204e-08,2.3896860683072724e-09,5.754275611076238e-10,1.7310110980021832e-09,2.4769558349711656e-09,7.837129180503183e-10,1.0543066194332389e-09,4.5016321822541944e-10
44.76834981780319,7.899834152879118e-10,3.5377661707816176e-08,1.5173224484861053e-08,5.1886459238124385e-09,1.5725833206161193e-08,1.055601271544252e-08,7.899834152879118e-10,5.343288867765792e-09,1.505933686023585e-09,9.593971191335868e-10,7.794065079534908e-09,3.4323427860617463e-09,7.439299293075003e-10,3.363151927225924e-09,1.78952322714898e-09,9.593971191335868e-10,1.8637858638150348e-10,4.100694102560541e-10
45.80947423217071,1.8334183487605753e-09,2.4495770329389685e-08,1.2850049506129844e-08,4.3522085168801624e-09,2.001588229056439e-08,6.1779938887831195e-09,1.8334183487605753e-09,7.138656371920571e-09,8.864855747789947e-10,7.177918318938652e-10,5.394243280323822e-09,4.233832562313923e-09,5.563140424088607e-10,3.52231588104707e-09,1.248413790124752e-09,7.177918318938652e-10,1.3213927014582361e-11,1.3090549479041051e-09
46.850598646538224,9.612544002230895e-10,2.0472957653392004e-08,9.927502729152698e-09,1.3948937106523578e-09,1.4946736131880217e-08,1.8888705946146407e-09,9.612544002230895e-10,4.565930028742584e-09,2.726267638746192e-09,2.1913611997011863e-10,4.603103789588327e-09,3.895615406861133e-09,2.2214458776552408e-10,2.0939198143500613e-09,1.3618656659655927e-09,2.1913611997011863e-10,1.549838358124053e-11,2.669785246885474e-09
47.89172306090574,5.307619249761385e-11,2.146242014076295e-08,7.3226752040506525e-09,1.9015388704985275e-11,5.6304668191921715e-09,1.6612406403577191e-09,5.307619249761385e-11,9.128419312901725e-10,5.8234522076433164e-09,2.2851356036101866e-11,5.134876775531609e-09,2.6372655237613795e-09,2.993697060282018e-11,1.0013590583880499e-09,1.7851670802161944e-09,2.2851356036101866e-11,1.614689349497486e-10,3.4533148176112185e-09
48.932847475273256,2.2923681004931528e-10,2.5616228937887924e-08,4.463488041217856e-09,2.6108435700292387e-10,6.370526712110276e-10,4.1924370801129625e-09,2.2923681004931528e-10,1.3152253174293327e-10,7.705172609138194e-09,1.143369701688682e-10,6.6023701046313006e-09,1.6100645478489883e-09,4.17807764255525e-12,9.52124380400396e-10,1.9005333147614335e-09,1.143369701688682e-10,8.592738106397125e-10,3.031499959849035e-09
49.973971889640765,3.6354537262109595e-10,3.062609585630412e-08,1.5750507497125588e-09,4.1185909589886467e-10,2.7936712734848213e-09,5.776911034570131e-09,3.6354537262109595e-10,1.87779023497854e-09,6.885421282486234e-09,1.5460141414970159e-10,8.338246995364615e-09,1.5849307364107269e-09,1.3830045425390184e-11,1.3552338407914539e-09,1.5818546096896676e-09,1.5460141414970159e-10,1.9744208068319305e-09,1.8215614269808092e-09
51.01509630400828,5.955764498346578e-10,3.40670922982818e-08,1.2529120507866493e-10,6.207289265318024e-10,7.267375299525934e-09,4.707778671643221e-09,5.955764498346578e-10,3.399566173976317e-09,4.13340243734983e-09,1.9990269526625001e-10,9.534828646854548e-09,2.1930054671505836e-09,3.5793678911319043e-11,1.785672048258073e-09,1.189523888869923e-09,1.9990269526625001e-10,2.669321867858456e-09,8.117470564540241e-10
52.0562207183758,1.637247868647899e-09,3.4820641992473467e-08,7.673988220803703e-10,1.5083174378275789e-09,8.204476395467202e-09,2.5945537399484232e-09,1.637247868647899e-09,2.6578438588226972e-09,1.5621975174762802e-09,3.5324470598147997e-10,9.82214610892016e-09,2.5586470137415552e-09,1.210246831450498e-10,1.9408729317066996e-09,1.0655770877631818e-09,3.5324470598147997e-10,2.4583594308065784e-09,5.685771231331838e-10
53.097345132743314,2.090993772606735e-09,3.3736126575606744e-08,2.155051124678289e-09,2.043648536459107e-09,5.167726996152553e-09,2.2112913006900933e-09,2.090993772606735e-09,5.249784787456173e-10,7.085197289383754e-10,3.8040929034668207e-10,9.500762756377013e-09,2.3019815499944397e-09,2.223041360906917e-10,1.4178250392979932e-09,1.240887263379681e-09,3.8040929034668207e-10,1.9039558119517958e-09,8.441716160582677e-10
54.13846954711083,9.46968211952175e-10,3.2309471236906827e-08,2.5160559869433747e-09,1.2799235380918196e-09,2.2081938847201266e-09,4.374243020705659e-09,9.46968211952175e-10,5.319618682411081e-10,1.541332222928372e-09,1.7465322249439174e-10,9.007821119591819e-09,1.692142828373029e-09,2.3986193695112325e-10,5.91927679444954e-10,1.4903593501289095e-09,1.7465322249439174e-10,1.87142081932081e-09,1.070557224872995e-09
55.179593961478346,1.5585628760313585e-10,3.06408652085342e-08,1.6895612451433584e-09,2.5397655127931497e-10,2.1671737886692147e-09,6.906327983804543e-09,1.5585628760313585e-10,3.9466329936350844e-09,2.9431290820933997e-09,1.2226849895113175e-11,8.297472278873825e-09,1.1279525229775335e-09,1.639278083223075e-10,4.946565118294216e-10,1.5261863657634194e-09,1.2226849895113175e-11,2.383968810955013e-09,1.0139225415138726e-09
