evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
159,1.8262647690168086e-08,7.58049984385035e-09,3.9093741541970695e-08,6,1.2056653202289893e-11,-8.460057801014765,-0.42679248177194334,-0.44232405221889387
160,1.8168869719027638e-08,4.886579441472829e-09,2.5753273539337314e-08,6,2.5389165378326354e-11,-8.4683013765124,-0.42668241485520314,-0.44264812315693197
161,1.8060664126895456e-08,4.269325703078317e-09,2.9475805612582247e-08,6,6.771384051673e-11,-8.487807317789885,-0.42604256444636984,-0.4433419836496908
162,1.7947663351055705e-08,4.898545575116207e-09,3.3198711529877066e-08,7,1.3804624562222572e-11,-8.52056713265485,-0.42456194897819255,-0.4445572125784546
163,1.777787047206372e-08,5.739357863063223e-09,3.519810454449205e-08,6,4.146561043786082e-11,-8.573993274912118,-0.42222834867776965,-0.44637932018514004
164,1.7758471469320608e-08,9.937506225665336e-09,5.41929760865279e-08,7,8.079928927441929e-11,-8.638040725871518,-0.4184903487666881,-0.44883233268862127
165,1.7599238835984862e-08,3.888849635638554e-09,1.783605124118123e-08,7,7.278488637076156e-15,-8.625206535707393,-0.41914589051386303,-0.4480692420616417
166,1.756458769268888e-08,4.251866706609186e-09,2.8118661705721875e-08,8,1.8033928597438088e-13,-8.639758139769206,-0.41782286688574677,-0.4489051868397093
167,1.7517038189141087e-08,3.059638143778238e-09,2.0843732018216732e-08,7,3.8419376697212915e-12,-8.635859107306512,-0.41773785375195355,-0.44865238471127444
168,1.7463479139778597e-08,2.9455784765361348e-09,1.6570979304574813e-08,7,1.1477702067180561e-11,-8.65315052371743,-0.41630079171122997,-0.44925758273430233
169,1.7400031180177553e-08,4.193213260896013e-09,2.7626187826809075e-08,8,2.7498937348478987e-13,-8.678268971707185,-0.4142502317028722,-0.4501713581987605
170,1.7347020067251355e-08,8.808416583225708e-09,6.367284455504692e-08,8,8.768000083671622e-13,-8.724798826512142,-0.40993475796306234,-0.45197565110486554
171,1.7269799380208044e-08,3.4468503648544532e-09,1.6048595117649713e-08,8,1.3308544005828696e-13,-8.736366756483212,-0.409569523134621,-0.4523705552553255
172,1.721965310209395e-08,3.884502735356889e-09,2.34731876888803e-08,8,4.868397129330133e-13,-8.72900146140636,-0.41011889623083597,-0.4520075733986552
173,1.7154065970560252e-08,3.88176387963397e-09,2.0827276654932764e-08,8,2.5154762285956184e-13,-8.734531849646025,-0.4096281235271758,-0.4521350439670945
174,1.703359100867822e-08,3.5766166808850784e-09,2.2815271858002275e-08,8,3.8134990093382217e-13,-8.735976729849435,-0.40954540492666214,-0.4520183096683008
175,1.68601181169658e-08,4.732284938711015e-09,2.3269628005858526e-08,8,1.4808386884366369e-13,-8.747089994250311,-0.4089306718651302,-0.4522551650599443
176,1.672335291539604e-08,7.39770864278147e-09,4.6486637933296865e-08,7,7.220338216176669e-11,-8.77316785926427,-0.4083917105373312,-0.45299250644744227
177,1.6576159461675784e-08,4.936985857112944e-09,2.2352623799273323e-08,7,6.845680782524245e-11,-8.773637717875763,-0.4090759041166676,-0.4529981650038067
178,1.643480598241275e-08,3.601126514577488e-09,1.8781469081008982e-08,7,2.751372747748936e-12,-8.788007154180326,-0.40922828236532993,-0.45362309761205727
179,1.6345235256794758e-08,4.038760087229207e-09,2.410545470506565e-08,10,1.2382803524183894e-12,-8.800649093745829,-0.40943973718451143,-0.45426764162520433
180,1.620090020205975e-08,6.180028464564727e-09,3.5350176915399185e-08,8,3.802941053755662e-12,-8.82611483014051,-0.40872607489530716,-0.4554503150369879
181,1.6060346649952373e-08,4.64658899267488e-09,2.5933237574588735e-08,8,4.0650241124916853e-13,-8.84420343904022,-0.40771620179478246,-0.45632989331894436
182,1.5902152933021212e-08,3.991205550810235e-09,2.6498606278741322e-08,8,2.2645755455621084e-14,-8.87170460476076,-0.40536196188867296,-0.45766262374213357
183,1.573801927014107e-08,6.666170783669428e-09,5.647162519382059e-08,8,3.196454291086819e-14,-8.863492538545986,-0.40426647901873014,-0.4574580193073794
184,1.560440055912186e-08,4.17091939737915e-09,2.6759392282048896e-08,7,3.6369158083575936e-11,-8.903933104786663,-0.3997841278137822,-0.45938913734422226
185,1.5530737906124408e-08,3.6416904039214277e-09,2.5980081883567372e-08,7,9.242536919431714e-11,-8.878104023457489,-0.40076166277537795,-0.4583783414592723
186,1.547221471119996e-08,2.594118992616261e-09,1.497383826132534e-08,7,8.264369372406289e-11,-8.879744312726817,-0.40012949133385645,-0.4584626274833927
187,1.5373308917435292e-08,3.115456686929039e-09,1.9297082184540845e-08,7,2.699863446452233e-11,-8.902798162794317,-0.3972522792484108,-0.4595955644592407
188,1.5272543328538776e-08,3.4236488630727284e-09,1.899334977847879e-08,7,8.40468720030181e-12,-8.929922477023267,-0.3937407835227581,-0.46092909499613893
