step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,control_0,control_1,control_2
15,0.014839833687388835,0.010704475342132622,0.014839833687388835,0.0309653853748898,0.012619132602883557,0.07987746401589185,37,1,0.6047477483326072,0.8848489967435544,0.4253238336762271
16,0.014334230959344945,0.010677691709588445,0.014334230959344945,0.029699384730030715,0.009941571395968272,0.07986059115516782,37,1,0.5654816121039076,0.8825386271423444,0.37950825872139426
17,0.013966816273034064,0.010812666826762247,0.013966816273034064,0.03048981905322668,0.006919460362814618,0.07984263235007812,50,1,0.5234848210736073,0.8756353011780013,0.3347496406104336
18,0.01379033733174087,0.011082297624941428,0.01379033733174087,0.03153732529614365,0.004317542832847021,0.07982358809297245,50,1,0.480747729979629,0.8657770512690673,0.29346985505372974
19,0.013803523518462353,0.011439671092433303,0.013803523518462353,0.03261347077112492,0.003907413385719242,0.07980345890595877,50,1,0.43936169095051264,0.8546060739131072,0.2580818877660933
20,0.013953212925399876,0.011832830387809797,0.013953212925399876,0.033610266125230576,0.005617857338337032,0.07978224534088889,50,1,0.40140327905870704,0.8436397166395999,0.2305886490167795
21,0.014159056077393107,0.012164803330895186,0.014159056077393107,0.034440223110980474,0.007478875748848181,0.07975994797934342,50,1,0.3687215500099383,0.8341334886562082,0.21220631903381088
22,0.0143443124607566,0.012422159900675902,0.0143443124607566,0.03504354028594445,0.00882725994758607,0.07973656743261578,50,1,0.3427257997588122,0.8269867719163543,0.20324407934965913
23,0.014456162753987728,0.012555868734884687,0.014456162753987728,0.03538961832983098,0.009548675687020912,0.0797121043416955,50,1,0.3242640809563665,0.8227130507086104,0.20324589057645573
24,0.014472046415745619,0.012569554935941446,0.014472046415745619,0.03547447314526983,0.009661632211090624,0.07968655937725054,50,1,0.3136155413025416,0.8214611393853792,0.2112341540387381
25,0.014396800971031897,0.012483028606984832,0.014396800971031897,0.035316489881634404,0.009219116649285123,0.079659933239609,50,1,0.3105627743240034,0.8230615475826397,0.22591933724787233
26,0.014255563848566839,0.012305992374090972,0.014255563848566839,0.03495213161043854,0.008290968984556354,0.07963222665873992,50,1,0.31449520464442593,0.8270788776345239,0.24583094131932015
27,0.01408493948980519,0.012069210943351361,0.01408493948980519,0.03443211682616072,0.0069773132546981295,0.0796034403942332,50,1,0.32450821740600433,0.8328632497403179,0.2693836635037421
28,0.013923352007795027,0.011804713528571037,0.013923352007795027,0.0338177892061056,0.005442094838552383,0.07957357523527883,50,1,0.3394839087640671,0.839603617934647,0.2949126804883638
29,0.013801527329756647,0.011527480426793081,0.013801527329756647,0.033177017934545,0.003979818863262686,0.07954263200064521,50,1,0.35815605611269397,0.8463907738643418,0.32071417147674636
30,0.013735087533455741,0.011275215931994409,0.013735087533455741,0.03257905703473488,0.0031234531772393616,0.07951061153865677,50,1,0.3791705633686097,0.8522960699884643,0.3451197002842949
31,0.013721837398713566,0.011056451927263546,0.013721837398713566,0.032088398015841096,0.0033267364269559036,0.07947751472717063,50,1,0.40115262922202555,0.856463068179249,0.36661305527917554
32,0.013745038425894902,0.0108888756795953,0.013745038425894902,0.031758499386733724,0.004140845532412452,0.07944334247355261,50,1,0.42278439365732506,0.8581979843872175,0.3839680942980215
33,0.013781153517985978,0.010747559831051726,0.013781153517985978,0.03162674288239836,0.0049367981127516536,0.07940809571465231,50,1,0.44288651128556644,0.8570398227940463,0.39636443378093505
34,0.013808491989096896,0.010641725725439552,0.013808491989096896,0.03171162309027873,0.005436373633188915,0.0793717754167774,50,1,0.4604907680242633,0.8527973571364694,0.4034439246137248
35,0.013813481585595899,0.010551544496555149,0.013813481585595899,0.03201231602466356,0.005551785149106655,0.07933438257566723,50,1,0.474891947800268,0.8455524784451898,0.4052999041042467
