evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1009,8.962179680460103e-06,6.95335014340904e-06,4.483735826555563e-05,7,5.6329662071398346e-11,-3.7556431765041114,-0.17000549508057958,-0.22684705077837689
1010,1.3171541540971869e-05,3.5093756502557372e-06,2.0350584426875028e-05,9,6.695581266539784e-11,-3.754676968260792,-0.16999508194072593,-0.226847047644496
1011,8.962179680459759e-06,6.953350143442798e-06,4.483735826578794e-05,7,5.632966197055941e-11,-3.755643176504119,-0.1700054950805795,-0.22684705077837658
1012,8.962179680459452e-06,6.953350143475941e-06,4.483735826601618e-05,7,5.6329662299707886e-11,-3.7556431765041234,-0.17000549508057972,-0.22684705077837608
1013,1.317154171200406e-05,3.509376730408714e-06,2.0350588291739955e-05,9,6.71661612753266e-11,-3.7546769450239936,-0.16999508092768081,-0.22684704921143603
1014,8.962179680459344e-06,6.953350143487253e-06,4.4837358266093954e-05,7,5.632966215324275e-11,-3.7556431765041234,-0.17000549508057983,-0.22684705077837597
1015,8.962179680459293e-06,6.953350143490568e-06,4.483735826611656e-05,7,5.632966153376585e-11,-3.7556431765041234,-0.17000549508057963,-0.22684705077837586
1016,1.3171541797714916e-05,3.5093772704252336e-06,2.035059022437535e-05,9,6.727156080824902e-11,-3.754676933405552,-0.16999508042116188,-0.22684704999490596
1017,8.962179680459205e-06,6.953350143495939e-06,4.4837358266153924e-05,7,5.632966196187044e-11,-3.7556431765041274,-0.17000549508057994,-0.22684705077837586
1018,8.962179680459196e-06,6.9533501434975364e-06,4.483735826616486e-05,7,5.632966266385408e-11,-3.7556431765041283,-0.17000549508057977,-0.22684705077837566
1019,1.3171541840619085e-05,3.5093775404186978e-06,2.0350591190744898e-05,9,6.732431613824152e-11,-3.754676927596319,-0.1699950801679035,-0.2268470503866409
1020,8.962179680459222e-06,6.95335014349641e-06,4.4837358266157285e-05,7,5.6329662183748835e-11,-3.7556431765041256,-0.1700054950805797,-0.22684705077837566
1021,8.962179680459196e-06,6.9533501434975364e-06,4.483735826616486e-05,7,5.632966266385408e-11,-3.7556431765041283,-0.17000549508057977,-0.22684705077837566
1022,1.3119750161994408e-05,3.1627709137730563e-06,1.844546171366842e-05,7,2.572413621956033e-13,-3.7664281905417485,-0.17050175752968902,-0.22605796773666587
1023,1.3171578137891676e-05,3.4921062790247393e-06,2.0293450509200258e-05,8,7.846933240923793e-14,-3.7550361490703037,-0.17001082064955989,-0.2268227812476734
1024,1.317153920031999e-05,3.509360511517951e-06,2.03505303747059e-05,9,6.407311498700482e-11,-3.7546772935625756,-0.1699950961244974,-0.226847025707235
1025,8.96217968043691e-06,6.953350145570312e-06,4.483735828044894e-05,7,5.6329668408337364e-11,-3.755643176504557,-0.1700054950805905,-0.22684705077834888
1026,8.96217968041466e-06,6.9533501476451984e-06,4.4837358294748875e-05,7,5.632967464762984e-11,-3.7556431765049973,-0.17000549508060067,-0.22684705077832198
1027,1.3171540525606373e-05,3.509369165956695e-06,2.0350561248811884e-05,9,6.570623347973353e-11,-3.7546771076797087,-0.1699950880192636,-0.2268470382427785
1028,8.962179680409106e-06,6.953350148163892e-06,4.483735829832386e-05,7,5.6329675351703025e-11,-3.7556431765051075,-0.17000549508060347,-0.22684705077831538
1029,8.962179680403479e-06,6.953350148685001e-06,4.483735830191478e-05,7,5.632967719481643e-11,-3.755643176505216,-0.1700054950806061,-0.22684705077830872
1030,1.317154120045298e-05,3.509373489422993e-06,2.0350576698590022e-05,9,6.65369004228335e-11,-3.7546770147350212,-0.16999508396689422,-0.22684704451054352
1031,8.962179680402132e-06,6.9533501488106506e-06,4.4837358302781147e-05,7,5.6329678876994666e-11,-3.7556431765052425,-0.1700054950806072,-0.22684705077830697
1032,8.962179680400724e-06,6.953350148937832e-06,4.4837358303658124e-05,7,5.6329678248575984e-11,-3.755643176505269,-0.17000549508060706,-0.22684705077830525
1033,1.3171541540964044e-05,3.5093756502064353e-06,2.0350584426698598e-05,9,6.695580283858644e-11,-3.7546769682618573,-0.16999508194077242,-0.22684704764442448
1034,8.962179680400355e-06,6.9533501489737095e-06,4.4837358303904414e-05,7,5.6329678690855343e-11,-3.755643176505273,-0.17000549508060772,-0.22684705077830494
1035,8.962179680400018e-06,6.9533501490079e-06,4.483735830414017e-05,7,5.6329679099117443e-11,-3.7556431765052825,-0.1700054950806076,-0.22684705077830444
1036,1.3171541711996266e-05,3.5093767303594133e-06,2.0350588291563653e-05,9,6.71661507632583e-11,-3.754676945025057,-0.16999508092772694,-0.22684704921136448
1037,8.962179680399943e-06,6.9533501490156164e-06,4.4837358304193225e-05,7,5.632967866087785e-11,-3.7556431765052825,-0.17000549508060808,-0.22684705077830433
1038,8.962179680399865e-06,6.953350149023536e-06,4.483735830424802e-05,7,5.632967950252709e-11,-3.7556431765052825,-0.1700054950806082,-0.22684705077830425
1039,1.3171541797707044e-05,3.509377270375903e-06,2.0350590224198773e-05,9,6.727155101555387e-11,-3.7546769334066155,-0.16999508042120803,-0.22684704999483432
1040,8.962179680399841e-06,6.953350149021542e-06,4.483735830423421e-05,7,5.632967894797574e-11,-3.7556431765052825,-0.1700054950806079,-0.22684705077830425
1041,1.3171541826878401e-05,3.5093774539727107e-06,2.035059088132769e-05,9,6.730742183660657e-11,-3.7546769294563327,-0.16999508024899276,-0.22684705026121402
1042,8.962179680399841e-06,6.953350149023952e-06,4.483735830425142e-05,7,5.63296789470594e-11,-3.7556431765052856,-0.17000549508060822,-0.22684705077830414
1043,8.962179680399785e-06,6.953350149026143e-06,4.483735830426685e-05,7,5.6329678479364855e-11,-3.7556431765052873,-0.17000549508060825,-0.22684705077830414
1044,1.3171541855206114e-05,3.509377632164543e-06,2.03505915191398e-05,9,6.734225346474977e-11,-3.7546769256222365,-0.16999508008184205,-0.22684705051975912
1045,8.962179680399802e-06,6.953350149025187e-06,4.483735830425976e-05,7,5.632968009404773e-11,-3.7556431765052856,-0.17000549508060825,-0.22684705077830414
1046,8.962179680399785e-06,6.953350149026143e-06,4.483735830426685e-05,7,5.6329678479364855e-11,-3.7556431765052873,-0.17000549508060825,-0.22684705077830414
1047,1.311975016191927e-05,3.1627709136483727e-06,1.8445461712312823e-05,7,2.572413676557003e-13,-3.766428190551836,-0.1705017575300787,-0.22605796773600353
1048,1.3171578137892196e-05,3.4921062789385617e-06,2.0293450508915594e-05,8,7.84698028276331e-14,-3.755036149072168,-0.17001082064964002,-0.22682278124754862
1049,1.3171539200312519e-05,3.509360511468572e-06,2.0350530374530468e-05,9,6.407310582143496e-11,-3.7546772935636468,-0.16999509612454367,-0.22684702570716317
1050,8.96217968037755e-06,6.953350151097889e-06,4.4837358318543684e-05,7,5.632968436097209e-11,-3.755643176505721,-0.17000549508061863,-0.22684705077827724
1051,8.96217968035525e-06,6.953350153176132e-06,4.4837358332866164e-05,7,5.632969001301393e-11,-3.755643176506163,-0.17000549508062918,-0.2268470507782504
1052,1.3171540525598706e-05,3.5093691659072753e-06,2.0350561248635244e-05,9,6.570622464554048e-11,-3.7546771076807834,-0.1699950880193097,-0.22684703824270677
1053,8.962179680349655e-06,6.95335015369437e-06,4.48373583364385e-05,7,5.6329692802939274e-11,-3.7556431765062714,-0.17000549508063195,-0.22684705077824385
1054,8.962179680344108e-06,6.9533501542150765e-06,4.483735834002577e-05,7,5.6329694268800184e-11,-3.7556431765063767,-0.17000549508063423,-0.22684705077823705
1055,1.3171541200445192e-05,3.509373489373375e-06,2.035057669841137e-05,9,6.653689095877707e-11,-3.754677014736087,-0.16999508396694066,-0.22684704451047186
1056,8.962179680342692e-06,6.953350154340749e-06,4.483735834089269e-05,7,5.6329695960538754e-11,-3.7556431765064033,-0.17000549508063476,-0.22684705077823533
1057,8.962179680341332e-06,6.9533501544725525e-06,4.483735834180049e-05,7,5.6329696274620487e-11,-3.75564317650643,-0.17000549508063567,-0.2268470507782336
1058,1.3171541540956241e-05,3.5093756501570566e-06,2.0350584426521832e-05,9,6.695579321656177e-11,-3.7546769682629164,-0.1699950819408182,-0.22684704764435282
1059,8.962179680340934e-06,6.9533501545057765e-06,4.483735834203026e-05,7,5.632969530442222e-11,-3.7556431765064366,-0.1700054950806358,-0.22684705077823333
1060,8.96217968034059e-06,6.953350154540036e-06,4.483735834226624e-05,7,5.632969539732011e-11,-3.7556431765064464,-0.1700054950806361,-0.2268470507782328
1061,1.317154171198846e-05,3.509376730309856e-06,2.0350588291385495e-05,9,6.716614187876128e-11,-3.7546769450261217,-0.16999508092777296,-0.2268470492112929
1062,8.962179680340514e-06,6.953350154545287e-06,4.4837358342301705e-05,7,5.632969556148615e-11,-3.755643176506445,-0.1700054950806359,-0.22684705077823272
1063,8.962179680340415e-06,6.953350154552389e-06,4.4837358342351416e-05,7,5.632969574443814e-11,-3.75564317650645,-0.17000549508063567,-0.2268470507782326
1064,1.3171541797699227e-05,3.509377270326541e-06,2.0350590224022102e-05,9,6.72715419888498e-11,-3.754676933407673,-0.16999508042125439,-0.22684704999476274
1065,8.962179680340442e-06,6.953350154555387e-06,4.4837358342372124e-05,7,5.6329695577241695e-11,-3.7556431765064464,-0.17000549508063634,-0.2268470507782326
1066,8.962179680340415e-06,6.953350154552389e-06,4.4837358342351416e-05,7,5.632969574443814e-11,-3.75564317650645,-0.17000549508063567,-0.2268470507782326
1067,1.3119750161844123e-05,3.1627709135239304e-06,1.844546171095932e-05,7,2.572414955304256e-13,-3.76642819056191,-0.1705017575304672,-0.2260579677353417
1068,1.3171578137892748e-05,3.492106278852495e-06,2.0293450508631353e-05,8,7.846986585679137e-14,-3.7550361490740114,-0.17001082064971992,-0.22682278124742386
1069,1.317153920030499e-05,3.5093605114187534e-06,2.0350530374351744e-05,9,6.407309676825341e-11,-3.754677293564704,-0.1699950961245899,-0.2268470257070916
1070,8.96217968031815e-06,6.953350156627272e-06,4.483735835665168e-05,7,5.632970069723821e-11,-3.7556431765068803,-0.17000549508064683,-0.22684705077820583
1071,8.962179680295877e-06,6.953350158695485e-06,4.483735837090489e-05,7,5.632970774918394e-11,-3.7556431765073155,-0.17000549508065696,-0.22684705077817893
1072,1.3171540525591042e-05,3.5093691658578183e-06,2.0350561248458553e-05,9,6.570621495124133e-11,-3.7546771076818413,-0.16999508801935592,-0.2268470382426353
1073,8.962179680290252e-06,6.95335015922007e-06,4.4837358374519775e-05,7,5.632970984300492e-11,-3.755643176507422,-0.1700054950806598,-0.22684705077817233
1074,8.962179680284694e-06,6.953350159742955e-06,4.483735837812335e-05,7,5.632971073205948e-11,-3.7556431765075367,-0.17000549508066204,-0.22684705077816558
1075,1.3171541200437479e-05,3.5093734893240203e-06,2.035057669823508e-05,9,6.653688119246893e-11,-3.7546770147371475,-0.1699950839669867,-0.22684704451040033
