name,jaw_filtered,score,disp_rms,disp_max,area_total_ratio,area_ratio_q001,area_ratio_q01,area_ratio_q05,area_ratio_median,area_ratio_q95,area_ratio_q99,area_ratio_q999,frac_abs_log_gt_10pct,frac_abs_log_gt_25pct,frac_abs_log_gt_2x,frac_stretch_gt_10pct,frac_shrink_gt_10pct
EyeScrewedUpLeft,False,0.44771861870164587,0.002160735723365587,0.00936814149356356,1.0013500854534538,0.44443062290427865,0.6214327743704575,0.868107489534117,1.0000003002468,1.0909724030640087,1.1972900674097813,1.3086925204550017,0.11214421887019632,0.034114853339576576,0.002575336967791565,0.044148633733569684,0.06799558513662664
LipsFunnel,False,0.45085387758288603,0.003739964287228193,0.017073380431781922,1.000906129068703,0.5481037797755396,0.7159144723807532,0.8567617928194688,1.0001191298895926,1.065601897126849,1.2608478282635163,2.6017640422270247,0.10933476035987826,0.03662329843807485,0.0024081072945583465,0.026823639586608248,0.08251112077327001
EyeClosedBrowUpLeft,False,0.4711450339390809,0.0014781801813487636,0.007834671491836689,1.0020679357558677,0.4017828368162489,0.7637276796139828,0.9217461310326623,1.0000004033469096,1.08982794212844,1.4760629637814655,2.380284839642582,0.08963510485300512,0.03414829927422322,0.005953376367102579,0.04458343088397605,0.045051673969029066
EyeScrewedUpRight,False,0.47248377727251,0.0021496175102606275,0.009382811743013576,1.000996933166614,0.41988285328299774,0.6034889660109317,0.8636726936887228,1.0000003245329139,1.0905473156116021,1.1919460754508155,1.31983682505724,0.11207732700090305,0.036757082176661425,0.0031773637914311514,0.0443158634068029,0.06776146359410014
EyeClosedBrowUpRight,False,0.4917248660436945,0.00145748208434076,0.007722453912536225,1.0025143356205692,0.44679136496610017,0.7570882980242593,0.9221998782935116,1.0000004109691705,1.0898511944211322,1.543996717472279,2.98190732030827,0.08883240242148567,0.034750326097862806,0.006889862537208602,0.04458343088397605,0.04424897153750962
LowerLipBack,False,0.49332641921386544,0.0025864383016542336,0.007451964465506469,0.9922053055377784,0.5103736168509864,0.6927918515544543,0.854920390192527,0.9999638962248119,1.1080831452481315,1.2286271340050634,1.4284838552963866,0.1407404929930767,0.037459446804240945,0.0008361483661660926,0.05558714338272183,0.08515334961035487
BrowDownRight,False,0.4984456536082976,0.0018790178126905361,0.009367792621894588,1.001105215713958,0.5761043306886198,0.7109517066825123,0.8277673703677078,1.0000006745431063,1.1072407890703542,1.171437847511512,1.3551425058278945,0.14080738486237,0.04234255326265093,0.0002006756078798622,0.05702531857252751,0.08378206628984247
BrowDownLeft,False,0.5130652192497991,0.0019430526649051032,0.009449504832907428,1.0011758802886603,0.6119063677677783,0.710646561034348,0.830004663346315,1.0000007182837387,1.111452759191239,1.1738281752613835,1.3736777380974061,0.14314860028763504,0.044850998361149204,6.68918692932874e-05,0.05802869661192682,0.08511990367570822
BrowUpRight,False,0.5159199027124433,0.0017390558177880267,0.010607228300237838,1.000083256122856,0.5841739294231212,0.7288157642286605,0.9047789066126303,1.0000002359957358,1.0835315531158964,1.723654680029718,2.8952070332906445,0.09244456336332318,0.042643566674470716,0.005886484497809291,0.04067025653031874,0.05177430683300445
BrowUpLeft,False,0.5225229398274205,0.0017981304614899025,0.01070101890108091,0.9999360073354188,0.5842564955125961,0.7124705127197221,0.9015202839691467,1.0000002163159771,1.08628758943022,1.7212548853883172,3.00621584043022,0.0947523328539416,0.04531924144620222,0.005317903608816349,0.04204153985083113,0.05271079300311047
