case,deformed_mask_area,deformed_surface_area,mask_area_rel_change,mask_triangle_area_rel_change/max,mask_triangle_area_rel_change/min,mask_triangle_area_rel_change/p05,mask_triangle_area_rel_change/p50,mask_triangle_area_rel_change/p95,n_mask_triangles,n_triangles,physical,rest_mask_area,rest_surface_area,state,surface_area_rel_change,surface_path,triangle_area_rel_change/max,triangle_area_rel_change/min,triangle_area_rel_change/p05,triangle_area_rel_change/p50,triangle_area_rel_change/p95
40-toy-forward-activation-fine,0.8109312635083439,2.403573766499349,0.0011497080349922584,0.13938404471330257,-0.3188535987592044,-0.2062172498154499,0.030784456716748232,0.1054002220940597,648,3200,True,0.8100000000000002,2.4000000000000004,solution,0.001489069374728702,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/40-toy-forward-activation-fine-area-change.vtp,0.13938404471330257,-0.3188535987592044,-0.03656801231056019,0.0,0.061684642662244486
40-toy-forward-activation-medium,0.7346938775510203,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,288,1904,True,0.7346938775510203,2.4000000000000004,target-raw,0.0,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/40-toy-forward-activation-medium-area-change.vtp,0.0,0.0,0.0,0.0,0.0
40-toy-forward-activation-medium,0.7346938775510203,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,288,1904,False,0.7346938775510203,2.4000000000000004,target-masked-diagnostic,0.0,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/40-toy-forward-activation-medium-area-change.vtp,0.0,0.0,0.0,0.0,0.0
40-toy-forward-activation-medium,0.7398760218208722,2.407987452907927,0.007053474145076066,0.15945647838032162,-0.30613800797613233,-0.17029576818469513,0.026901532593124222,0.11506645604134537,288,1904,True,0.7346938775510203,2.4000000000000004,solution,0.003328105378302748,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/40-toy-forward-activation-medium-area-change.vtp,0.15945647838032162,-0.30613800797613233,-0.015736556556614822,0.0,0.050513335369122385
30-toy-squash-coarse-dy-m0p005-nu-0p3,0.5625,2.4003498501358322,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.00014577088992995257,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p005-nu-0p3-area-change.vtp,0.0015987220439130923,0.0,0.0,0.0,0.0007996802557443949
30-toy-squash-coarse-dy-m0p005-nu-0p3,0.5625,2.4003498501358322,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.00014577088992995257,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p005-nu-0p3-area-change.vtp,0.0015987220439130923,0.0,0.0,0.0,0.0007996802557443949
30-toy-squash-coarse-dy-m0p005-nu-0p3,0.561481885712333,2.400149497719161,-0.001809980955852386,0.009741937899252484,-0.013456054855204402,-0.00871784458367511,-0.0028829974747042186,0.006922389014442558,72,640,True,0.5625,2.4000000000000004,solution,6.229071631680405e-05,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p005-nu-0p3-area-change.vtp,0.011026862749377475,-0.013456054855204402,-0.0036870039621733513,0.0,0.003567838898300118
30-toy-squash-coarse-dy-m0p005-nu-0p49,0.5625,2.4003498501358322,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.00014577088992995257,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p005-nu-0p49-area-change.vtp,0.0015987220439130923,0.0,0.0,0.0,0.0007996802557443949
30-toy-squash-coarse-dy-m0p005-nu-0p49,0.5625,2.4003498501358322,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.00014577088992995257,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p005-nu-0p49-area-change.vtp,0.0015987220439130923,0.0,0.0,0.0,0.0007996802557443949
30-toy-squash-coarse-dy-m0p005-nu-0p49,0.5623888120135101,2.4000518389512857,-0.0001976675315376042,0.007152080581044551,-0.013645038137026111,-0.008076474374961368,0.0008314332330264795,0.0045256731518540485,72,640,True,0.5625,2.4000000000000004,solution,2.1599563035490377e-05,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p005-nu-0p49-area-change.vtp,0.007152080581044551,-0.013645038137026111,-0.0008660259542815907,0.0,0.002159801780567049
30-toy-squash-coarse-dy-m0p01-nu-0p3,0.5625,2.4013976086612567,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.0005823369421902314,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p01-nu-0p3-area-change.vtp,0.00637965003273,0.0,0.0,0.0,0.0031948963187562462
30-toy-squash-coarse-dy-m0p01-nu-0p3,0.5625,2.4013976086612567,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.0005823369421902314,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p01-nu-0p3-area-change.vtp,0.00637965003273,0.0,0.0,0.0,0.0031948963187562462
30-toy-squash-coarse-dy-m0p01-nu-0p3,0.5606655096056326,2.400457540289106,-0.0032613162566532683,0.026803791375646924,-0.03407791352449241,-0.014909264865309229,-0.0038029117130935486,0.013787162068931167,72,640,True,0.5625,2.4000000000000004,solution,0.0001906417871273547,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p01-nu-0p3-area-change.vtp,0.026803791375646924,-0.03407791352449241,-0.004952818165628036,0.0,0.005279873008673272
30-toy-squash-coarse-dy-m0p01-nu-0p49,0.5625,2.4013976086612567,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.0005823369421902314,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p01-nu-0p49-area-change.vtp,0.00637965003273,0.0,0.0,0.0,0.0031948963187562462
30-toy-squash-coarse-dy-m0p01-nu-0p49,0.5625,2.4013976086612567,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.0005823369421902314,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p01-nu-0p49-area-change.vtp,0.00637965003273,0.0,0.0,0.0,0.0031948963187562462
30-toy-squash-coarse-dy-m0p01-nu-0p49,0.5627499069378749,2.400272259383242,0.00044427900066645876,0.03633038977455305,-0.03796675267103522,-0.02001390274034523,0.0007324730069475649,0.019472216960759715,72,640,True,0.5625,2.4000000000000004,solution,0.00011344140968416738,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p01-nu-0p49-area-change.vtp,0.03633038977455305,-0.03796675267103522,-0.0022767559686443064,0.0,0.004050684268486082
30-toy-squash-coarse-dy-m0p02-nu-0p3,0.5625,2.405562146310566,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.0023175609627357208,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p02-nu-0p3-area-change.vtp,0.025280449438103814,0.0,0.0,0.0,0.012719112093773077
30-toy-squash-coarse-dy-m0p02-nu-0p3,0.5625,2.405562146310566,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.0023175609627357208,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p02-nu-0p3-area-change.vtp,0.025280449438103814,0.0,0.0,0.0,0.012719112093773077
30-toy-squash-coarse-dy-m0p02-nu-0p3,0.5593795156998285,2.4015119339628703,-0.005547527644749417,0.047643990655594326,-0.061535071590689605,-0.049186183746646316,0.0028842894881524472,0.01521967431130408,72,640,True,0.5625,2.4000000000000004,solution,0.0006299724845291177,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p02-nu-0p3-area-change.vtp,0.047643990655594326,-0.061535071590689605,-0.0030484838747488747,0.0,0.010800599498543608
30-toy-squash-coarse-dy-m0p02-nu-0p49,0.5625,2.405562146310566,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.0023175609627357208,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p02-nu-0p49-area-change.vtp,0.025280449438103814,0.0,0.0,0.0,0.012719112093773077
30-toy-squash-coarse-dy-m0p02-nu-0p49,0.5625,2.405562146310566,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.0023175609627357208,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p02-nu-0p49-area-change.vtp,0.025280449438103814,0.0,0.0,0.0,0.012719112093773077
30-toy-squash-coarse-dy-m0p02-nu-0p49,0.5637401945844994,2.401114121284418,0.002204790372443366,0.06587859708592414,-0.06699654288852641,-0.044026449032050406,0.006489457564759937,0.0291900812361097,72,640,True,0.5625,2.4000000000000004,solution,0.0004642172018405333,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p02-nu-0p49-area-change.vtp,0.06587859708592414,-0.07605107736401451,-0.0022832422062306116,0.0,0.009634069313424774
30-toy-squash-coarse-dy-m0p04-nu-0p3,0.5625,2.4218186827407324,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.00909111780863836,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p04-nu-0p3-area-change.vtp,0.09763381872097954,0.0,0.0,0.0,0.04995237987253498
30-toy-squash-coarse-dy-m0p04-nu-0p3,0.5625,2.4218186827407324,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.00909111780863836,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p04-nu-0p3-area-change.vtp,0.09763381872097954,0.0,0.0,0.0,0.04995237987253498
30-toy-squash-coarse-dy-m0p04-nu-0p3,0.5590682096284011,2.404333107605376,-0.006100960660620269,0.10462467029420641,-0.1330005364917869,-0.11866859257026593,0.007590733777946168,0.05434133117953372,72,640,True,0.5625,2.4000000000000004,solution,0.0018054615022398135,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p04-nu-0p3-area-change.vtp,0.10640900246450102,-0.1330005364917869,-0.00010607475599246859,0.0,0.021301934986328267
30-toy-squash-coarse-dy-m0p04-nu-0p49,0.5625,2.4218186827407324,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.00909111780863836,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p04-nu-0p49-area-change.vtp,0.09763381872097954,0.0,0.0,0.0,0.04995237987253498
30-toy-squash-coarse-dy-m0p04-nu-0p49,0.5625,2.4218186827407324,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.00909111780863836,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p04-nu-0p49-area-change.vtp,0.09763381872097954,0.0,0.0,0.0,0.04995237987253498
30-toy-squash-coarse-dy-m0p04-nu-0p49,0.5663941513855335,2.4045904652707533,0.006922935796503937,0.2711315379859851,-0.09759639276923571,-0.06347145132032267,0.013833916397963497,0.05072436816055995,72,640,True,0.5625,2.4000000000000004,solution,0.0019126938628137857,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-squash-coarse-dy-m0p04-nu-0p49-area-change.vtp,0.2711315379859851,-0.10035245763522604,-0.0037578721407661637,0.0,0.01906676867230984
30-toy-stretch-coarse-dy-p0p005-nu-0p3,0.5625,2.4003498501358322,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.00014577088992995257,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-stretch-coarse-dy-p0p005-nu-0p3-area-change.vtp,0.0015987220439130923,0.0,0.0,0.0,0.0007996802557443949
30-toy-stretch-coarse-dy-p0p005-nu-0p3,0.5625,2.4003498501358322,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.00014577088992995257,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-stretch-coarse-dy-p0p005-nu-0p3-area-change.vtp,0.0015987220439130923,0.0,0.0,0.0,0.0007996802557443949
30-toy-stretch-coarse-dy-p0p005-nu-0p3,0.5639693753541303,2.4001558900840023,0.0026122228517870827,0.020775953072247333,-0.010578653766586066,-0.006186494297632827,0.0032161164052558755,0.011475994709010954,72,640,True,0.5625,2.4000000000000004,solution,6.495420166752197e-05,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/30-toy-stretch-coarse-dy-p0p005-nu-0p3-area-change.vtp,0.020775953072247333,-0.010578653766586066,-0.0034698666265913667,0.0,0.004161700714819957
