index,singular_value,relative_to_largest
159,3.811212629997209e-20,1.0269162601023389e-18
160,3.6768089699200305e-20,9.90701722276717e-19
161,3.3052402453297837e-20,8.90583990186946e-19
162,3.203248659337431e-20,8.631027583016365e-19
163,3.1639144623946237e-20,8.5250431357023725e-19
164,2.985264314602823e-20,8.04367733576478e-19
165,2.7646076868803904e-20,7.449126727058174e-19
166,2.685460442726667e-20,7.235867589207847e-19
167,2.4450188626526472e-20,6.588007204197289e-19
168,2.355017588040024e-20,6.345502307980815e-19
169,2.23008175241913e-20,6.0088676105127215e-19
170,2.064770982264599e-20,5.563444239206742e-19
171,1.8992163764152326e-20,5.117363862206961e-19
172,1.728947579269601e-20,4.658581282088769e-19
173,1.6791173584501423e-20,4.524315711070157e-19
174,1.634678056516482e-20,4.404575759055708e-19
175,1.3650841364833248e-20,3.678165540093504e-19
176,1.3219005547817195e-20,3.5618090768780975e-19
177,1.1966048999047001e-20,3.224204860569976e-19
178,1.0777633675075844e-20,2.903991023552527e-19
179,1.0152540803468946e-20,2.7355622067306067e-19
180,9.692852672202847e-21,2.611701046936549e-19
181,8.681775304670518e-21,2.339270225111429e-19
182,7.327529029165332e-21,1.9743738901356693e-19
183,6.805902306715228e-21,1.8338236204467557e-19
184,6.563049793587879e-21,1.7683879655126006e-19
185,6.297151684555191e-21,1.6967427653610857e-19
186,5.628103499973986e-21,1.516470362260109e-19
187,3.999098646138177e-21,1.077541408513739e-19
188,3.6285556144836395e-21,9.7770004535318e-20
189,3.100517531131266e-21,8.354222596741836e-20
190,2.5089493231016962e-21,6.760265316573994e-20
191,1.89693050352207e-21,5.1112046675610367e-20
