step,phase,objective,gradient_inf,gradient_rms,equilibrium_residual_rms,forward_iterations,min_det_f,min_det_ainv,min_det_g,inverted_rest_measure_fraction,ainv_negative_rest_measure_fraction,g_negative_rest_measure_fraction,double_inverted_rest_measure_fraction,activation_sha256,displacement_sha256
24,inverse_bfgs,0.010110249222660888,0.003890868456787857,0.0038465380369541295,6.613032975464578e-14,5,-0.18223571850468337,0.08565925271607164,-0.18223571850468337,0.002000000000000003,0.0,0.002000000000000003,0.0,9154c56466c7d48594eb92e78433e3ec9bf7850da1daa845206873504c97138a,d4f9f89d4b44a1338064e6f7c8f3c81a658b4ad23190f54dbd4810011d85c449
25,inverse_bfgs,0.010106762386762173,0.0036562584333028813,0.0035729234175221835,4.091736866923225e-12,5,-0.19273357502304772,0.0852324120703177,-0.19273357502304772,0.002000000000000003,0.0,0.002000000000000003,0.0,6ecb2cfeca533755f44a90b6a921bd69fa18238795dab4920643e7aa57917b45,ba9a83bdff2ec50e5c6e0bdf652ecafcd19c51519dcdb24ca26391a4d865d16f
26,inverse_bfgs,0.010106336748117084,0.004750326635842577,0.003980279919552783,8.773684147251284e-11,5,-0.1971004400221275,0.08515252813014855,-0.1971004400221275,0.002000000000000003,0.0,0.002000000000000003,0.0,fc4bd261df1545b4bc808901d17315660987c503a1f6f0db2ee424d6926d309c,4bcc1c92232c4e5112b69f2ef7b75041f5ef6304fd12503246b94880e4b9eee3
27,inverse_bfgs,0.010103310964578336,0.003250693224950849,0.0029682971098804467,7.413542225097184e-11,7,-0.19691901704741185,0.08456996292958338,-0.19691901704741185,0.002000000000000003,0.0,0.002000000000000003,0.0,34a1c885a512b08ac7cdf865d079093ee15eaf4d7c7a1e57d74a9b33cd029849,e801d62b32b8abee6569ce8c77bb4daa55c491c332d76e59596468b0a7cf9f56
28,inverse_bfgs,0.010098357521935835,0.0018977918945542788,0.0011852647358554615,2.564651871062809e-12,5,-0.2069417572351011,0.08218212705294523,-0.2069417572351011,0.002000000000000003,0.0,0.002000000000000003,0.0,304ba35523e4d6d09e6286798d573ad0ffc7ad3615faf1b30933ebd1d47f9954,dfe141509308603cc56ef3b0208cefc5c526630ec08b2242012564018eb9f925
29,inverse_bfgs,0.010097353116967097,0.0020368333127265127,0.001302959193244491,2.9952522037748975e-12,3,-0.20569440789185195,0.08245961216282745,-0.20569440789185195,0.002000000000000003,0.0,0.002000000000000003,0.0,403f5cc3dc6d31425bfb9adc9aefa6b0d9a439a60ff1ad8d944c2fe83b78032c,006f205a3e0745463402cd8911d5f1ded265b576dde149ed787a7cdd58c678d8
30,inverse_bfgs,0.01008651801931051,0.0028668214030026567,0.0023920072216290175,1.6249573597424418e-12,4,-0.193712763588199,0.08437385086097694,-0.193712763588199,0.002000000000000003,0.0,0.002000000000000003,0.0,bcec33aac10f877a761a8da95e1db68480b48f90a73459fdd93fd6d6bcca0561,d73ea4baddf0e2eee2890d54346e8185a48c0fb65a3b9272a0935193b989a96b
31,inverse_bfgs,0.010057544613900718,0.0036181490524370996,0.003487844598644319,1.8429634369410562e-13,5,-0.16620534536626227,0.08722810708317086,-0.16620534536626227,0.002500000000000003,0.0,0.002500000000000003,0.0,e5fe82f2f419b60b6ecc8ac29f55bf75eec4b7f7159d8d7141c378f957756a11,21da1234f2b43b47cc313e267ef13c2926b1bda7a9dc8a432f9422a133632b61
32,inverse_bfgs,0.010051286059283519,0.0020475398224001234,0.0014694511489717144,8.28928345870523e-11,25,-0.13321632649215348,0.08951817690315375,-0.13321632649215348,0.002500000000000003,0.0,0.002500000000000003,0.0,c3e619a8935d9e17033f2bbb04ee5373130418f7c73953be2a5b5528a5387e9c,b3d2e2b2e1e697b3332943ba024ae3e99a3386ff431068574883caa393ab240a
33,inverse_bfgs,0.010047325021325835,0.001208662813480204,0.0007242329925423586,2.9790383930832652e-12,5,-0.1386697965511665,0.0882791826169644,-0.1386697965511665,0.002500000000000003,0.0,0.002500000000000003,0.0,fb5ca7d568e76c49d069f70e497e29cb4676c7edabee7892e0f14dee15cc6748,7636468289bc73befe1158936f172b4e1e77b1cb9629fc1801db024ad72986d4
34,inverse_bfgs,0.010047092443107836,0.0016020771175506295,0.0010658833842721285,2.0145096288637863e-11,3,-0.13884151121543958,0.08822815798880769,-0.13884151121543958,0.002500000000000003,0.0,0.002500000000000003,0.0,e9bdcf4f78f3766fbe65d04c93db235c95f2faa0c00700847478722d4f4863b6,005ec640033fdbf4d763b9983dec206706658e1c56d9a1c70304b23eed130121
35,inverse_bfgs,0.01004695204450369,0.002526051915588046,0.002065473858705219,1.5868153144297796e-11,3,-0.13895151500188285,0.08820175979157407,-0.13895151500188285,0.002500000000000003,0.0,0.002500000000000003,0.0,06f1fdfe136a5891b492a02e4566e0cf20094e73c2f3d79e5ff40d4c48591cd3,6572518709f552218d0e8449b77ed738ce76174911fc596819f8ce204146bc3a
