accepted,alpha,controls_sha256,displacement_sha256,forward_iterations,gradient_inf,min_det_f,objective,trial
False,0.0009765625,ac730651ed3c56c038343211104831f930627c22dd793fd7902675873247a9de,da343ff3f5053551e0169d6338d5b7d492fb612da15b8d51812d2731116673fc,16,0.0011742988736339137,-0.1348258190321334,0.010122438729681757,935
False,0.00048828125,595637f9700b750c345de53f3a1e7ebbc348c7f60c52911fc13ec7c5b7a1b90c,e88f4e3a16fa0dee2e13fdbfbdad9ae73b5e46371d1ea37777611c45af264ddf,22,0.0011738177360967187,-0.13483486299437003,0.0101224433965235,936
False,0.000244140625,33748036c09d01c021947b0950b8fc16d2f03564e8274864e2aff0729f6fb033,92aae41f92bf98c460d8bd65a4894435272ad0d30cf0848c3c780f58f7e1ad5c,21,0.0011735676754465886,-0.13483938375400142,0.010122446162774192,937
False,0.0001220703125,2c20900ea75eae03ebbdabbd6f3e9348c49d859510b4da2e295d77bd80544074,e803642d83f78816624154ae86eb84d2c4392a6d848f8d2ec4677bbd878922ca,32,0.0011734486786009334,-0.13484164746117397,0.01012244611189611,938
False,6.103515625e-05,c41cf21b4dc65d4acbc9c17273322fa1343fd0935a6f9a34d85837926c7a4726,abac55a3c4d251051635b830a62a897b4b8ad2788b3700447c3edbd61ed2832e,32,0.0011733935937286923,-0.13484277735573666,0.010122447070864262,939
False,3.0517578125e-05,71fee6dabc355e56cc5a3ceea7d89674dbccdccc110caf3a135dba5823b53e31,69e123ea6f2d43051070a12579b072e10d02f41226c16c99c15480175940181a,32,0.0011733635362730147,-0.13484334262748557,0.01012244734904815,940
False,1.52587890625e-05,6869ee8a2e289ef9c84e5b6c1977d9b32b604198281fc9154b9c7660009bf364,dd53c9be04921ec314d95bb4099ce274775115cfaa408745e3f990317981560a,32,0.0011733485127961155,-0.13484362526178498,0.0101224474890812,941
False,7.62939453125e-06,225b3e057f888f08ed8da9ffdadde44edac284e4fe740f8a17b34bd77c44b526,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799694350932203,-0.13486258751710722,0.010043806396672387,942
False,3.814697265625e-06,a81c651d9da7490eda1b048a587f3521fb0c0e95b8860f84ff540eee34d2ea96,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799697124099659,-0.13486258751710722,0.010043806396672387,943
False,1.9073486328125e-06,5d5d7f9f99707e68614aacb8509e5f9dbd9fa0d475437151516cb5ed67839488,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799698510689155,-0.13486258751710722,0.010043806396672387,944
False,9.5367431640625e-07,997775af5817c08994117730ba1da66b8a42163f11afa773cc3cef484b8dd2a6,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.00979969920398758,-0.13486258751710722,0.010043806396672387,945
False,4.76837158203125e-07,a4ff6d6b8006d651058ee0a90844d979334b0f9008a0b438fef6b1d21815acca,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699550633935,-0.13486258751710722,0.010043806396672387,946
False,2.384185791015625e-07,218024942b45aad3506c39db254e3201f9ba88ededec7a8b1bad54013542c8c1,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.00979969972396536,-0.13486258751710722,0.010043806396672387,947
False,1.1920928955078125e-07,71e0a0de4e4461fad4cede2f2204f778b5012b84c40ef7f6e846345d860e4727,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699810617206,-0.13486258751710722,0.010043806396672387,948
False,5.960464477539063e-08,38d5ee9143227095ca6bb30c6080df9aad677dde7a7ec4b4f0a3d7fea5f0a378,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699853952093,-0.13486258751710722,0.010043806396672387,949
False,2.9802322387695312e-08,40d156fd8a01b4841dcc789a89a15a1bfcb29500382038b2ef3bb599a2558147,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699875623439,-0.13486258751710722,0.010043806396672387,950
