evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1024,8.884645324135429e-06,1.533959941035065e-05,9.572318025431467e-05,4,4.131383124523124e-12,-3.7259180411292228,-0.17196564840560746,-0.22691421947673995
1025,8.876520034676028e-06,2.7076910715981845e-05,0.00017194691699668241,5,4.5140087811832225e-12,-3.7259566415241223,-0.17196410620466943,-0.22691311515697885
1026,8.869111733859318e-06,0.000148141295156498,0.0009565239636367705,2,2.084769027745017e-11,-3.725980234607048,-0.17196170611273182,-0.2269128453588101
1027,8.868705546003732e-06,0.00010288836371351874,0.0006648117818994475,1,8.61348998157093e-11,-3.7259820637040004,-0.17196160962965826,-0.22691280093721372
1028,8.868705546003732e-06,0.00010288584273385087,0.0006647952015372831,1,1.8219783775532806e-11,-3.7259820637040004,-0.1719616184718406,-0.22691279490057636
1029,8.868705546003732e-06,0.00010288531073926893,0.0006647917026343205,1,3.893889680790804e-12,-3.7259820637040004,-0.17196162033783471,-0.22691279362664543
1030,8.868705546003732e-06,0.00010288519846979405,0.0006647909642433773,1,8.985705968336503e-13,-3.7259820637040004,-0.17196162073162594,-0.2269127933578005
1031,8.868705546003732e-06,0.00010288517477710628,0.0006647908084176837,1,3.4087909864381895e-13,-3.7259820637040004,-0.17196162081473026,-0.22691279330106445
1032,8.868705546003732e-06,0.00010288516977697143,0.0006647907755320427,1,2.72869711662475e-13,-3.7259820637040004,-0.17196162083226824,-0.22691279328909122
1033,8.868705546003732e-06,0.00010288516872181945,0.0006647907685923551,1,2.651168851204213e-13,-3.7259820637040004,-0.1719616208359694,-0.2269127932865644
1034,8.868705546003732e-06,0.00010288516849899933,0.0006647907671268943,1,2.638432948646902e-13,-3.7259820637040004,-0.17196162083675054,-0.22691279328603103
1035,8.868705546003732e-06,0.00010288516845199363,0.0006647907668177422,1,2.635910592795078e-13,-3.7259820637040004,-0.1719616208369153,-0.2269127932859186
1036,8.868705546003732e-06,0.00010288516844216819,0.0006647907667531119,1,2.6353856267099923e-13,-3.7259820637040004,-0.1719616208369501,-0.22691279328589486
1037,8.868705546003732e-06,0.00010288516843979708,0.0006647907667375456,1,2.635275801891474e-13,-3.7259820637040004,-0.1719616208369574,-0.22691279328588987
1038,8.868705546003732e-06,0.00010288516843939413,0.0006647907667348911,1,2.6352527248950774e-13,-3.7259820637040004,-0.1719616208369589,-0.22691279328588876
1039,8.868705546003732e-06,0.00010288516843936784,0.0006647907667347099,1,2.6352479472991566e-13,-3.7259820637040004,-0.17196162083695923,-0.22691279328588845
1040,8.868705546003732e-06,0.0001028851684395783,0.000664790766736069,1,2.6352464422304505e-13,-3.7259820637040004,-0.1719616208369594,-0.22691279328588845
1041,8.868705546003732e-06,0.00010288516843935598,0.0006647907667346269,1,2.6352464930140763e-13,-3.7259820637040004,-0.1719616208369594,-0.22691279328588845
1042,8.868705546003732e-06,0.00010288516843948919,0.0006647907667354904,1,2.635246448096325e-13,-3.7259820637040004,-0.1719616208369594,-0.22691279328588845
