case,display_name,cohort,material_model,step,target/error_rms_fraction_of_target,target/error_rms_mm,target/face_rest_area_weighted_error_fraction,target/face_target_area_weighted_error_fraction,bumpiness/contraction_target_relative_dihedral_rms_deg,bumpiness/residual_normal_laplacian_rms_m,bumpiness/displacement_laplacian_rms_m,seam/boundary_band_to_interior_residual_ratio,seam/boundary_band_to_interior_normal_laplacian_ratio,activation/rms,activation/max_abs,activation/I_plus_Ainv_min_eigenvalue,activation/I_plus_Ainv_min_determinant,activation/I_plus_Ainv_max_condition_number,cut_boundary/policy,cut_boundary/displacement_rms_m,cut_boundary/displacement_max_abs_m,cut_boundary/displacement_exact_zero,warning/I_plus_Ainv_non_spd_active_tets,warning/inverted_tets,warning/detF_min,warning/isface_folded_triangles
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,10,0.7739978538363987,4.110036237792864,0.7904466951870728,0.788917989034641,6.155926740102346,0.00020713136184640223,9.887869099297359e-05,0.6794914317860699,2.470102674341882,0.025584430500368672,0.8898744205201993,0.27904312520746627,0.1115286407579567,3.0134490678715693,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,6,-1.1732994917402877,7
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,11,0.7584856931803257,4.027664507552379,0.7746409631777584,0.7732819194737961,6.581796155262896,0.00020749357409626453,0.00010422377254427548,0.6794980770387209,2.418785130756946,0.02747005776804138,0.9746908735913177,0.23092479942068872,0.08528960306011435,3.574889502583197,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,7,-1.2435597610128386,8
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,12,0.7438361915163565,3.9498736165233113,0.7596861665816093,0.7584882144695948,7.005238797852151,0.0002079687767479071,0.00010920319835179234,0.6792528757381489,2.3725441538074827,0.029283639891416663,1.0528337272477826,0.1870109175319219,0.0642704719910828,4.092556751086899,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,8,-1.2864959685948292,8
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,13,0.7302673807600077,3.8778213444970704,0.7455028937456858,0.7445258950974498,7.413843405910032,0.00020916074499114515,0.00011419420624760276,0.6808125561548789,2.3346052823672956,0.031028670762712297,1.1244859934391647,0.1458429763521266,0.046924807012466534,5.116863150075142,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,8,-1.3026415593798664,8
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,14,0.7172415368589172,3.80865230197847,0.7319341852410663,0.7311446633594285,7.812738379813316,0.00020946856274128465,0.00011824343138388345,0.6814575487590947,2.3057507828511894,0.03271065432842181,1.1906234124006752,0.11630498578654545,0.03531962334691278,6.357871381706696,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,7,-1.307764963154638,8
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,15,0.7051516625296488,3.7444533880443265,0.7189675958566207,0.7183584945290379,8.158385693371574,0.00021079068504215978,0.00012223267861849005,0.6845614249297375,2.3018972989675173,0.034331779971897104,1.2519888476480578,0.09746546001814424,0.02812250856075138,7.528337694019536,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,8,-1.2917313548225176,9
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,16,0.6935329170606952,3.682756233874717,0.7067930625424907,0.7063635262589923,8.484854763440758,0.0002111530619690688,0.00012590188193128786,0.6852720695233991,2.2713824029926823,0.03589262291611236,1.3089358147696386,0.08263650911433207,0.022774113573417215,8.825212274524937,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,7,-1.3594139620464358,11
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,17,0.6828396009056111,3.625973238054084,0.6955522691197127,0.6952797229668543,8.754076051527312,0.00021082268692640326,0.000128991056829473,0.6849859172564514,2.2446152390970875,0.037397763725938914,1.3618512884457379,0.07093415159828009,0.018758036680530964,10.233718586784619,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,9,-1.3386877862525945,12
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,18,0.6716644732909931,3.5666317563815153,0.6838795962724797,0.6837865865045089,9.05959829679292,0.00021049206097322138,0.00013227168321913954,0.6851339966717525,2.209655051201847,0.038848507091597304,1.4111964853145438,0.06251751579086555,0.01591998520669015,11.565230368892712,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,11,-1.3153471572252764,12
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,19,0.6611029793464819,3.510548754830524,0.6732695453278345,0.6732790245520145,9.356115357395439,0.00021101914984379255,0.0001360850425611276,0.6831011573556096,2.175280551781746,0.04024794749505334,1.457210254905621,0.05623172007877447,0.013837896666176061,12.82059907169882,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,10,-1.300704424351478,15
